Deviceset	Package	Technology	Device name	Order code type	Order code	Manuf. code	Description
1X01	PAD_SMD	''	1X01	Farnell	not assigned		
1X01	PAD_1	''	1X01-1"	Farnell	not assigned		
1X01	PAD_0.7	''	1X01-LARGE	Farnell	not assigned		
1X01	PAD_SQUARE_LARGE	''	1X01SQUARE	Farnell	not assigned		
2-AAA-BATTERY-HOLDER	2-AAA-BATTERY-HOLDER	''	2-AAA-BATTERY-HOLDER	Farnell	not assigned		
3-AA-BATTERY-HOLDER	3-AA-BATTERY-HOLDER	''	3-AA-BATTERY-HOLDER	Farnell	not assigned		
3-AAA-BATTERY-HOLDER	3-AAA-BATTERY-HOLDER	''	3-AAA-BATTERY-HOLDER	Farnell	not assigned		
4NXXM-OPTOISOLATOR	6-SMD_GULL-WING	''	4NXXM-OPTOISOLATOR	Farnell	not assigned		
4XAA_BATTERY_HOLDER	4XAA_BATTERY_HOLDER	''	4XAA_BATTERY_HOLDER	Farnell	not assigned		
44TQFP	44TQFP	''	44TQFPTQFP	Farnell	not assigned		
69X8MM-WHEEL	69X8MM-WHEEL	''	69X8MM-WHEEL	Farnell	not assigned		
74HC245	SO20W	''	74HC245	Farnell	not assigned		
74LVC2G14	6TSOP	''	74LVC2G14SOT363	Farnell	not assigned		
74LVC126A	14TSSOP	''	74LVC126A	Farnell	not assigned		
128X32-LCD	128X32-LCD	''	128X32-LCD	Farnell	not assigned		
433MHZ_RECIEVER-ARDUINO	433MHZ_RECIEVER-ARDUINO	''	433MHZ_RECIEVER-ARDUINO	Farnell	not assigned		
433MHZ_TRANSMITTER-ARDUINO	433MHZ_TRANSMITTER-ARDUINO	''	433MHZ_TRANSMITTER-ARDUINO	Farnell	not assigned		
AAT1217	TSOT23-6	''	AAT1217	Farnell	not assigned		
AC-DC-CONVERTOR	AC-DC-CONVERTOR-VSK-S1-XX_VOLTS	''	AC-DC-CONVERTOR-IC	Farnell	not assigned		
AC-DC-CONVERTOR	AC-DC-CONVERTOR-VOF-15-XX_VOLTS	''	AC-DC-CONVERTOR-MODULE	Farnell	not assigned		
ARDUINO	ARDUINO-PINS-ONLY	''	ARDUINO	Farnell	not assigned		
ARIA	ARIA_PAD	''	ARIA	Farnell	not assigned		
AT45DB081D	SOIC-8	''	AT45DB081D	Farnell	not assigned		
ATMEGA164A/PA/324A/PA/644A/PA/1284/P	44TQFP	''	ATMEGA164A/PA/324A/PA/644A/PA/1284/P	Farnell	not assigned		
ATMEGA164A/PA/324A/PA/644A/PA/1284/P	VQFN-44	''	ATMEGA164A/PA/324A/PA/644A/PA/1284/P-	Farnell	not assigned		
AUDIO-JACK	AUDIO-JACK	''	AUDIO-JACKPTH	Farnell	not assigned		
AUDIO-JACK2	AUDIO-JACK	''	AUDIO-JACK2PTH	Farnell	not assigned		
AVR_ICSP	AVR_ICSP_PTH	''	AVR_ICSP	Farnell	not assigned		
BA6845FS	16PIN_SSOP	''	BA6845FS	Farnell	not assigned		
BALUN	BALUN-JTI	''	BALUN	Farnell	not assigned		
BAT30C	BAT30	''	BAT30C	Farnell	not assigned		
BAT30S	BAT30	''	BAT30S	Farnell	not assigned		
